combo_idx,umap_params,hdbscan_params,galaxy_n_clusters,galaxy_silhouette,galaxy_calinski_harabasz,galaxy_davies_bouldin,cluster_n_clusters,cluster_silhouette,cluster_calinski_harabasz,cluster_davies_bouldin,largest_galaxy_size
55,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 50},65,0.8772945404052734,5363.87841796875,1.0418727230901004,13,0.6341878175735474,386.335693359375,1.0952163993489707,2160
56,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 100},39,0.7533733248710632,3133.118408203125,1.1672483481248006,5,0.3517046272754669,329.0289306640625,2.0493719720481516,2160
57,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.6240829825401306,1922.076904296875,0.9007667907374867,8,0.2874448895454407,371.0472717285156,1.6933718979996915,3871
58,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 50},65,0.8722741007804871,5127.392578125,1.0284572847353108,13,0.6087188124656677,337.69744873046875,1.2703224757242035,2160
59,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 100},39,0.7535933256149292,3276.021728515625,1.1798257564760524,5,0.35188692808151245,315.11224365234375,1.89589847528417,2160
60,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 150},29,0.6155785322189331,1717.6455078125,0.9404211206911719,9,0.4248025119304657,536.267578125,1.7252887525317564,3954
61,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8677441477775574,5051.4833984375,1.0268834496474903,12,0.5948137044906616,360.3838195800781,1.0506274165137601,2160
62,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 100},40,0.7505632638931274,3103.733154296875,1.1489608862639251,5,0.28700047731399536,224.1769256591797,1.7939992464124217,2160
63,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 150},28,0.6059710383415222,1804.112548828125,0.9608654229890395,8,0.2874579429626465,356.45709228515625,1.6890783479828295,3837
64,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 50},64,0.8965505361557007,7498.5341796875,1.0025931663600054,16,0.653114914894104,391.1809997558594,1.1382064089795783,2160
65,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 100},41,0.8079662919044495,4259.84619140625,1.0890523440348248,5,0.3516136705875397,328.8656005859375,2.047095187902525,2160
66,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 150},30,0.7277986407279968,3123.96337890625,1.1872382669929242,5,0.3485136330127716,324.2400817871094,1.9125567533044106,2160
67,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.891724169254303,8026.86279296875,0.9746541598400937,16,0.6296323537826538,331.10675048828125,1.2056876781710337,2160
68,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 100},42,0.8073126673698425,4311.98388671875,1.0899049186186762,5,0.3356713056564331,292.7662048339844,1.9926180135417675,2160
69,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 150},31,0.7248773574829102,2976.92236328125,1.182734482015173,5,0.348747193813324,334.95513916015625,1.68698469478722,2160
70,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 50},63,0.880431056022644,6547.734375,1.02117944945357,16,0.6694818735122681,389.7078552246094,1.2352304632600548,2160
71,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 100},41,0.7999712824821472,4214.3369140625,1.1019034302323698,5,0.3460656702518463,295.9964599609375,2.2223041657970315,2160
72,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 150},29,0.6977668404579163,2785.009033203125,1.2129530342839243,4,0.3277575969696045,351.41363525390625,1.1767260754958924,2160
73,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 50},65,0.8987287878990173,7965.26904296875,0.8780432095784421,16,0.6665098071098328,400.9721984863281,1.037582188801188,2160
74,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 100},38,0.7898149490356445,3810.807861328125,1.0508251166852147,5,0.3546239137649536,339.3297424316406,1.682532223115371,2160
75,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 150},31,0.7403150200843811,3221.695556640625,1.0870364267863268,5,0.3934986889362335,369.599609375,1.9351926583756982,2160
76,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 50},65,0.9007389545440674,8935.296875,0.8368927830819388,16,0.6871885061264038,423.2319641113281,1.0230428394118198,2160
77,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 100},39,0.7763575911521912,3611.991943359375,1.024664735535969,5,0.38885053992271423,378.8701171875,1.7882828055992235,2160
78,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 150},32,0.7458418607711792,3334.579833984375,1.0770436346978918,5,0.37844523787498474,383.7738952636719,1.4320119259262576,2160
79,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8710209131240845,4859.32421875,0.3335279122248159,19,0.7071889638900757,491.8481750488281,1.0747454337699327,2543
80,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 100},39,0.7687904238700867,3416.7421875,1.0968904146839717,5,0.36788851022720337,346.1175842285156,1.8706578343949238,2160
81,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 150},31,0.7051047086715698,2712.32470703125,1.1321494025883514,2,0.05854294076561928,78.08052825927734,4.595221872598298,2249
